! :: ,(!,Fat)
brutalmente :: ,(brutal,RG)
bruxelas :: ,(bruxelas,NP)
budapeste :: ,(budapeste,NP)
burning :: ,(burning,NP)
burocracia :: ,(burocracia,NC)
cabais :: ,(cabal,AQ)
cabe :: ,(caber,VMI)
cabo :: ,(cabo,NC)
cabo-verdiano :: ,(cabo-verdiano,AQ)
cabo-verdianos :: ,(cabo-verdianos,NC)
cabo_verde :: ,(cabo_verde,NP)
cada :: ,(cada,DI)
cada_vez_mais :: ,(cada_vez_mais,RG)
cambalhota :: ,(cambalhota,NC)
caminha :: ,(caminhar,VMI)
caminho :: ,(caminho,NC)
campeonato :: ,(campeonato,NC)
canais :: ,(canal,NC)
cantava :: ,(cantar,VMI)
cantor :: ,(cantor,NC)
canção :: ,(canção,NC)
capital :: ,(capital,NC)
cargo :: ,(cargo,NC)
carlos_marchena :: ,(carlos_marchena,NP)
carlos_moreira :: ,(carlos_moreira,NP)
carlota :: ,(carlota,NC)
carreira :: ,(carreira,NC)
carrinhos :: ,(carrinho,NC)
carro :: ,(carro,NC)
carros :: ,(carro,NC)
carta_branca :: ,(carta_branca,NP)
cartaz :: ,(cartaz,NC)
casa :: ,(casa,NC)
casa_do_infante :: ,(casa_do_infante,NP)
casa_do_professor :: ,(casa_do_professor,NP)
casario :: ,(casario,NC)
caso :: ,(caso,NC),(caso,CS)
casos :: ,(caso,NC)
catarina_selada :: ,(catarina_selada,NP)
catastrófica :: ,(catastrófico,AQ)
catástrofes :: ,(catástrofe,NC)
católica :: ,(católica,NP)
causa :: ,(causar,VMI),(causa,NC)
causalidade :: ,(causalidade,NC)
caça :: ,(caça,NC)
caçados :: ,(caçar,VMP)
ccb :: ,(ccb,NP)
ce :: ,(ce,NC)
ceiia :: ,(ceiia,NP)
cena :: ,(cena,NC)
centeno :: ,(centeno,NP)
central :: ,(central,AQ)
centralização :: ,(centralização,NC)
centro :: ,(centro,NC)
centro_de_estudos_sociais :: ,(centro_de_estudos_sociais,NP)
cerca :: ,(cerca,RG)
certeza :: ,(certeza,NC)
certidões :: ,(certidão,NC)
certos :: ,(certo,DI)
cervídeos :: ,(cervídeo,AQ)
chamada :: ,(chamar,VMP)
chamado :: ,(chamar,VMP)
chamando :: ,(chamar,VMG)
chamaram :: ,(chamar,VMI)
chamou :: ,(chamar,VMI)
charlemagne_palestine :: ,(charlemagne_palestine,NP)
chegada :: ,(chegada,NC)
cheguei :: ,(chegar,VMI)
chiado :: ,(chiado,NP)
chinesas :: ,(chinês,AQ)
christophe_wavelet :: ,(christophe_wavelet,NP)
ciclo :: ,(ciclo,NC)
cidade :: ,(cidade,NC)
cidades :: ,(cidade,NC)
cidadãos :: ,(cidadão,NC)
científicos :: ,(científico,AQ)
cima :: ,(cima,NC)
cinco :: ,(5,Z)
cineasta :: ,(cineasta,NC)
circula :: ,(circula,NP),(circular,VMI)
circular :: ,(circular,VMN)
citação :: ,(citação,NC)
civil :: ,(civil,AQ)
classificados :: ,(classificar,VMP)
classificação :: ,(classificação,NC)
clean_feed :: ,(clean_feed,NP)
clichés :: ,(cliché,NC)
climáticas :: ,(climático,AQ)
clube :: ,(clube,NC)
clássica :: ,(clássico,AQ)
cm-funchal :: ,(cm-funchal,NC)
cobaia :: ,(cobaia,NC)
coimbra :: ,(coimbra,NP)
coisas :: ,(coisa,NC)
colaboração :: ,(colaboração,NC)
colaborou :: ,(colaborar,VMI)
colectiva :: ,(colectivo,AQ)
colectivo :: ,(colectivo,NC)
colegas :: ,(colega,NC)
coligação :: ,(coligação,NC)
colocam :: ,(colocar,VMI)
colocando :: ,(colocar,VMG)
com :: ,(com,SP)
combinam :: ,(combinar,VMI)
começará :: ,(começar,VMI)
começámos :: ,(começar,VMI)
como :: ,(como,CS),(como,RG),(como,PT)
como_se :: ,(como_se,CS)
comparações :: ,(comparação,NC)
compensar :: ,(compensar,VMN)
competição :: ,(competição,NC)
competências :: ,(competência,NC)
complexidade :: ,(complexidade,NC)
complexo :: ,(complexo,NC)
compositor :: ,(compositor,NC)
compositora :: ,(compositor,NC)
composição :: ,(composição,NC)
composições :: ,(composição,NC)
compra :: ,(compra,NC)
compras :: ,(compra,NC)
compreender :: ,(compreender,VMN)
comprou :: ,(comprar,VMI)
comunicativa :: ,(comunicativo,AQ)
comunidade :: ,(comunidade,NC)
conceder :: ,(conceder,VMN)
conceito :: ,(conceito,NC)
concelhos :: ,(concelho,NC)
concentrada :: ,(concentrar,VMP)
concentração :: ,(concentração,NC)
conceptualização :: ,(conceptualização,NC)
concertada :: ,(concertar,VMP)
concerto :: ,(concerto,NC)
concessão :: ,(concessão,NC)
concidadãos :: ,(concidadão,NC)
conclui :: ,(concluir,VMI)
conclusões :: ,(conclusão,NC)
concluída :: ,(concluir,VMP)
concreta :: ,(concreto,AQ)
condenam :: ,(condenar,VMI)
condicionalidade :: ,(condicionalidade,NC)
condizentes :: ,(condizente,AQ)
condutores :: ,(condutor,AQ)
conduziram :: ,(conduzir,VMI)
conduziu :: ,(conduzir,VMI)
conectados :: ,(conectar,VMP)
confiança :: ,(confiança,NC)
configurando :: ,(configurar,VMG)
confirmados :: ,(confirmar,VMP)
conforto :: ,(conforto,NC)
confrontada :: ,(confrontar,VMP)
conheceram :: ,(conhecer,VMI)
conhecimento :: ,(conhecimento,NC)
conjectura :: ,(conjectura,NC)
conjunto :: ,(conjunto,NC)
conquistado :: ,(conquistar,VMP)
consciente :: ,(consciente,NC),(consciente,AQ)
conseguir :: ,(conseguir,VMN)
considera :: ,(considerar,VMI)
consideradas :: ,(considerar,VMP)
considerado :: ,(considerar,VMP)
consigo :: ,(conseguir,VMI)
consta :: ,(constar,VMI)
constatámos :: ,(constatar,VMI)
constituem :: ,(constituir,VMI)
constitui :: ,(constituir,VMI)
constituindo :: ,(constituir,VMG)
constituiu :: ,(constituir,VMI)
construção :: ,(construção,NC)
consultado :: ,(consultar,VMP)
consultores :: ,(consultor,NC)
consumo :: ,(consumo,NC)
conta :: ,(conta,NC),(contar,VMI)
contactando :: ,(contactar,VMG)
contam :: ,(contar,VMI)
contamina :: ,(contaminar,VMI)
contasse :: ,(contar,VMS)
contemporânea :: ,(contemporâneo,AQ)
conter :: ,(conter,VMN)
contestação :: ,(contestação,NC)
continente :: ,(continente,NC)
continua :: ,(continuar,VMI)
continuada :: ,(continuar,VMP)
continuam :: ,(continuar,VMI)
continuamos :: ,(continuar,VMI)
continuar :: ,(continuar,VMN)
continuasse :: ,(continuar,VMS)
continue :: ,(continuar,VMS)
continuem :: ,(continuar,VMS)
continuous_project :: ,(continuous_project,NP)
contou :: ,(contar,VMI)
contrabaixo :: ,(contrabaixo,NC)
contribuintes :: ,(contribuinte,NC)
contribuir :: ,(contribuir,VMN)
controlo :: ,(controlo,NC)
contudo :: ,(contudo,CC)
conveniente :: ,(conveniente,AQ)
convidado :: ,(convidar,VMP)
convidou :: ,(convidar,VMI)
convite :: ,(convite,NC)
convivem :: ,(conviver,VMI)
cooptação :: ,(cooptação,NC)
coordenou :: ,(coordenar,VMI)
cor :: ,(cor,NC)
coreografia :: ,(coreografia,NC)
coreográfico :: ,(coreográfico,AQ)
coreógrafa :: ,(coreógrafo,NC)
coreógrafo :: ,(coreógrafo,NC)
coreógrafos :: ,(coreógrafo,NC)
correcção :: ,(correcção,NC)
corrente :: ,(corrente,AQ)
correram :: ,(correr,VMI)
corresponder :: ,(corresponder,VMN)
corrupção :: ,(corrupção,NC)
corsários :: ,(corsário,NC)
corta-fogo :: ,(corta-fogo,NC)
cortando :: ,(cortar,VMG)
creio :: ,(crer,VMI)
cresceu :: ,(crescer,VMI)
crescimento :: ,(crescimento,NC)
cria :: ,(crer,VMI)
criada :: ,(criar,VMP)
criado :: ,(criado,NC)
criadora :: ,(criador,NC)
crianças :: ,(criança,NC)
criar :: ,(criar,VMN)
criação :: ,(criação,NC)
criminais :: ,(criminal,AQ)
criminosas :: ,(criminoso,AQ)
crioulo :: ,(crioulo,NC)
crises :: ,(crises,NP)
cristiano_ronaldo :: ,(cristiano_ronaldo,NP)
